IDX,PATIENT_DEV_CD,DESC_E,DESC_F,CODE_TYPE_E,CODE_TYPE_F
109,125,E2340 - Wound Dehiscence,E2340 - Déhiscence de la plaie,Health Effect,Effet sur la santé
110,126,E0843 - Zonular Dehiscence,E0843 - Déhiscence zonulaire,Health Effect,Effet sur la santé
111,127,E1201 - Dehydration,E1201 - Déshydratation,Health Effect,Effet sur la santé
112,128,E010702 - Dementia,E010702 - Démence,Health Effect,Effet sur la santé
113,129,E2309 - Deposits,E2309 - Dépôts,Health Effect,Effet sur la santé
114,130,E230901 - Calcium Deposits/Calcification,E230901 - Dépôts de calcium (calcification),Health Effect,Effet sur la santé
115,131,E020202 - Depression,E020202 - Dépression,Health Effect,Effet sur la santé
116,132,E081903 - Retinal Detachment,E081903 - Décollement de la rétine,Health Effect,Effet sur la santé
117,133,Device Fragments in Patient (Retired - use 204),Fragments d'instrument dans le corps d'un patient (Retiré-utilise 204),Health Effect,Effet sur la santé
118,134,E120501 - Elevated ketones/Diabetic Ketoacidosis,E120501 - Cétones élevées / Acidocétose diabétique,Health Effect,Effet sur la santé
119,135,E2310 - Diaphoresis,E2310 - Diaphorèse,Health Effect,Effet sur la santé
120,136,E1008 - Diarrhea,E1008 - Diarrhée,Health Effect,Effet sur la santé
121,137,E1607 - Difficulty Chewing,E1607 - Difficultés de mastication,Health Effect,Effet sur la santé
122,138,F1202 - Disability,F1202 - Invalidité,Health Effect,Effet sur la santé
123,139,E1613 - Intervertebral Disc Compression or Protrusion,E1613 - Compression ou hernie du disque intervertébral,Health Effect,Effet sur la santé
124,140,Discharge (Retired - use 198),Écoulement (Retiré-utilise 198),Health Effect,Effet sur la santé
125,141,E2311 - Discomfort,E2311 - Inconfort,Health Effect,Effet sur la santé
126,142,E2308 - Deformity/Disfigurement,E2308 - Déformation ou défigurement,Health Effect,Effet sur la santé
127,143,Dissection (Retired - use 1132),Dissection (Retiré-utilise 1132),Health Effect,Effet sur la santé
128,144,E1001 - Abdominal Distention,E1001 - Distension abdominale,Health Effect,Effet sur la santé
129,145,E020203 - Distress,E020203 - Détresse,Health Effect,Effet sur la santé
130,146,E0112 - Dizziness,E0112 - Étourdissements,Health Effect,Effet sur la santé
131,147,E0815 - Dry Eye(s),E0815 - Sécheresse oculaire,Health Effect,Effet sur la santé
132,148,E012201 - Dyskinesia,E012201 - Dyskinésie,Health Effect,Effet sur la santé
133,149,E1009 - Dysphagia/Odynophagia,E1009 - Dysphagie/odynophagie,Health Effect,Effet sur la santé
134,150,E0113 - Dysphasia,E0113 - Dysphasie,Health Effect,Effet sur la santé
135,151,E0717 - Dyspnea,E0717 - Dyspnée,Health Effect,Effet sur la santé
136,152,E1301 - Dysuria,E1301 - Dysurie,Health Effect,Effet sur la santé
137,153,E0830 - Macular Edema,E0830 - Oedème maculaire,Health Effect,Effet sur la santé
138,154,E0618 - Non specific EKG/ECG Changes,E0618 - Modification de l'ECG non spécifique,Health Effect,Effet sur la santé
139,155,E2104 - Electric Shock,E2104 - Décharge électrique,Health Effect,Effet sur la santé
140,156,Electrocution (Retired - use 121),Électrocution (Retiré-utilise 121),Health Effect,Effet sur la santé
141,157,E1202 - Electrolyte Imbalance,E1202 - Déséquilibre électrolytique,Health Effect,Effet sur la santé
142,158,Electro Mechanical Dissociation (Retired - use 68),Dissociation électromécanique (Retiré-utilise 68),Health Effect,Effet sur la santé
143,159,Embolism (Retired - use 1129),Embolie (Retiré-utilise 1129),Health Effect,Effet sur la santé
144,160,E050301 - Air Embolism,E050301 - Embolie gazeuse,Health Effect,Effet sur la santé
145,161,E050303 - Pulmonary Embolism,E050303 - Embolie pulmonaire,Health Effect,Effet sur la santé
146,162,E050304 - Thromboembolism,E050304 - Thromboembolie,Health Effect,Effet sur la santé
147,163,Embolus (Retired - use 1129),Embole (Retiré-utilise 1129),Health Effect,Effet sur la santé
148,164,E0202 - Emotional Changes,E0202 - Changements émotionnels,Health Effect,Effet sur la santé
149,165,E0114 - Encephalitis,E0114 - Encéphalite,Health Effect,Effet sur la santé
150,166,E0115 - Encephalopathy,E0115 - Encéphalopathie,Health Effect,Effet sur la santé
151,168,E0610 - Endocarditis,E0610 - Endocardite,Health Effect,Effet sur la santé
152,169,E0816 - Endophthalmitis,E0816 - Endophtalmie,Health Effect,Effet sur la santé
153,170,E0603 - Cardiac Enzyme Elevation,E0603 - Élévation des enzymes cardiaques,Health Effect,Effet sur la santé
154,171,E1010 - Eructate,E1010 - Éructation,Health Effect,Effet sur la santé
155,172,E1018 - Laceration(s) of Esophagus,E1018 - Lacération oesophagienne,Health Effect,Effet sur la santé
156,173,E1022 - Perforation of Esophagus,E1022 - Perforation oesophagienne,Health Effect,Effet sur la santé
157,175,E2105 - Exposure to Body Fluids,E2105 - Exposition aux liquides organiques,Health Effect,Effet sur la santé
158,176,E0504 - Extravasation,E0504 - Extravasation,Health Effect,Effet sur la santé
159,177,E2118 - Unintended Extubation,E2118 - Extubation involontaire,Health Effect,Effet sur la santé
160,178,E0819 - Eye Injury,E0819 - Lésion oculaire,Health Effect,Effet sur la santé
161,179,"Optical tissue, breakdown of (Retired - use 341)","Tissu oculaire, dégradation du (Retiré-utilise 341)",Health Effect,Effet sur la santé
162,180,E081904 - Retinal Injury,E081904 - Lésion rétinienne,Health Effect,Effet sur la santé
163,181,E081905 - Retinal Tear,E081905 - Déchirement rétinien,Health Effect,Effet sur la santé
164,182,Facial Nerve Paralysis (Retired - use 448),Paralysie du nerf facial (Retiré-utilise 448),Health Effect,Effet sur la santé
165,183,E2007 - Fall,E2007 - Chute,Health Effect,Effet sur la santé
166,185,E2312 - Fatigue,E2312 - Fatigue,Health Effect,Effet sur la santé
167,186,E231201 - Extreme Exhaustion,E231201 - Épuisement extrême,Health Effect,Effet sur la santé
168,187,E1203 - Feeding Problem,E1203 - Problème d'alimentation,Health Effect,Effet sur la santé
169,188,E1507 - Fetal Distress,E1507 - Souffrance foetale,Health Effect,Effet sur la santé
170,189,E230101 - Fever,E230101 - Fièvre,Health Effect,Effet sur la santé
171,190,E1609 - Fibromyositis,E1609 - Fibromyosite,Health Effect,Effet sur la santé
172,191,E2313 - Fibrosis,E2313 - Fibrose,Health Effect,Effet sur la santé
173,192,Scarring (Retired - use 521),Cicatrisation (Retiré-utilise 521),Health Effect,Effet sur la santé
174,193,E0812 - Corneal Scar,E0812 - Cicatrice cornéenne,Health Effect,Effet sur la santé
175,194,First Use Syndrome (Retired - use 636),Syndrome de la première fois (Retiré-utilise 636),Health Effect,Effet sur la santé
176,195,E2314 - Fistula,E2314 - Fistule,Health Effect,Effet sur la santé
177,196,E083801 - Flashers,E083801 - Éclairs lumineux,Health Effect,Effet sur la santé
178,197,E1011 - Flatus,E1011 - Flatuosité,Health Effect,Effet sur la santé
179,198,E2315 - Fluid Discharge,E2315 - Écoulement de liquide,Health Effect,Effet sur la santé
180,199,E231501 - Purulent Discharge,E231501 - Écoulement purulent,Health Effect,Effet sur la santé
181,200,E0719 - Forced Expiratory Volume Decreased,E0719 - Volume expiratoire maximal diminué,Health Effect,Effet sur la santé
182,201,E0720 - Forced Expiratory Volume Increased,E0720 - Volume expiratoire maximal augmenté,Health Effect,Effet sur la santé
183,202,E2316 - Foreign Body Reaction,E2316 - Réaction à un corps étranger,Health Effect,Effet sur la santé
184,203,Host Tissue Reaction (Retired - use 636),Réaction du tissu hôte (Retiré-utilise 636),Health Effect,Effet sur la santé
185,204,E2008 - Foreign Body In Patient,E2008 - Corps étranger dans un patient,Health Effect,Effet sur la santé
186,205,E200801 - Device Embedded In Tissue or Plaque,E200801 - Dispositif intégré dans les tissus ou les plaques,Health Effect,Effet sur la santé
187,206,E0821 - Foreign Body Sensation in Eye,E0821 - Sensation de corps étranger dans l'oeil,Health Effect,Effet sur la santé
188,207,E1603 - Bone Fracture(s),E1603 - Fracture osseuse,Health Effect,Effet sur la santé
189,208,"Fracture, Delayed Union (Retired - use 636)",Fracture avec retard de consolidation (Retiré-utilise 636),Health Effect,Effet sur la santé
190,209,E160304 - Skull Fracture,E160304 - Fracture du crâne,Health Effect,Effet sur la santé
191,210,"E160302 - Fracture, Limb",E160302 - Fracture d'un membre,Health Effect,Effet sur la santé
192,211,E160301 - Hip Fracture,E160301 - Fracture de la hanche,Health Effect,Effet sur la santé
193,212,Fungus (Retired - use 292),Champignon (Retiré-utilise 292),Health Effect,Effet sur la santé
194,213,Gangrene (Retired - use 407),Gangrène (Retiré-utilise 407),Health Effect,Effet sur la santé
195,214,E1012 - Gastritis,E1012 - Gastrite,Health Effect,Effet sur la santé
196,215,E0822 - Glaucoma,E0822 - Glaucome,Health Effect,Effet sur la santé
197,216,E2317 - Granuloma,E2317 - Granulome,Health Effect,Effet sur la santé
198,217,E2318 - Hair Loss,E2318 - Perte de cheveux ou de poils,Health Effect,Effet sur la santé
199,218,E1610 - Head Injury,E1610 - Traumatisme crânien,Health Effect,Effet sur la santé
200,219,E0116 - Headache,E0116 - Céphalée,Health Effect,Effet sur la santé
201,220,"Headache, Lumbar Puncture (Retired - use 219)",Céphalées post-ponction lombaire (Retiré-utilise 219),Health Effect,Effet sur la santé
202,221,E1707 - Impaired Healing,E1707 - Troubles de cicatrisation,Health Effect,Effet sur la santé
203,222,E0903 - Hearing Impairment,E0903 - Déficience auditive,Health Effect,Effet sur la santé
204,223,E090301 - Partial Hearing Loss,E090301 - Perte auditive partielle,Health Effect,Effet sur la santé
205,224,E090302 - Total Hearing Loss,E090302 - Perte auditive totale,Health Effect,Effet sur la santé
206,225,Heart Failure (Retired - use 1135),Insuffisance cardiaque (Retiré-utilise 1135),Health Effect,Effet sur la santé
207,226,Left Ventricular Failure (Retired - use 1135),Insuffisance ventriculaire gauche (Retiré-utilise 1135),Health Effect,Effet sur la santé
208,227,E140702 - Menorrhagia,E140702 - Ménorragie,Health Effect,Effet sur la santé
209,228,E0505 - Hematoma,E0505 - Hématome,Health Effect,Effet sur la santé
210,229,E1302 - Hematuria,E1302 - Hématurie,Health Effect,Effet sur la santé
211,230,Hemoconcentration (Retired - use 636),Hémoconcentration (Retiré-utilise 636),Health Effect,Effet sur la santé
212,231,E0303 - Hemolysis,E0303 - Hémolyse,Health Effect,Effet sur la santé
213,232,E030101 - Hemolytic Anemia,E030101 - Anémie hémolytique,Health Effect,Effet sur la santé
214,233,E0721 - Hemoptysis,E0721 - Hémoptysie,Health Effect,Effet sur la santé
215,234,E0506 - Hemorrhage/Blood Loss/Bleeding,E0506 - Hémorragie / perte de sang / saignement,Health Effect,Effet sur la santé
216,235,E050601 - Ecchymosis,E050601 - Ecchymose,Health Effect,Effet sur la santé
217,236,"Hemorrhage, Extradural (Retired - use 241)",Hémorragie extradurale (Retiré-utilise 241),Health Effect,Effet sur la santé
218,237,"Hemorrhage, Subarachnoid (Retired - use 241)",Hémorragie sous-arachnoïdienne (Retiré-utilise 241),Health Effect,Effet sur la santé
219,238,"Hemorrhage, Subdural (Retired - use 241)",Hémorragie sous-durale (Retiré-utilise 241),Health Effect,Effet sur la santé
220,239,"Hemorrhage, Subgaleal C (Retired - use 234)",Hémorragie sous-galéale (Retiré-utilise 234),Health Effect,Effet sur la santé
221,240,E140701 - Intermenstrual Bleeding,E140701 - Saignement intermenstruel,Health Effect,Effet sur la santé
222,241,E0118 - Intracranial Hemorrhage,E0118 - Hémorragie intracrânienne,Health Effect,Effet sur la santé
223,242,"Hemorrhage, cerebral (Retired - use 241)",Hémorragie cérébrale (Retiré-utilise 241),Health Effect,Effet sur la santé
224,243,"Hemorrhage, Intraventricular (Retired - use 241)",Hémorragie intraventriculaire (Retiré-utilise 241),Health Effect,Effet sur la santé
225,244,Hemostasis (Retired - use 636),Hémostase (Retiré-utilise 636),Health Effect,Effet sur la santé
226,245,E0722 - Hemothorax,E0722 - Hémothorax,Health Effect,Effet sur la santé
227,246,E1102 - Hepatitis,E1102 - Hépatite,Health Effect,Effet sur la santé
228,247,E2319 - Hernia,E2319 - Hernie,Health Effect,Effet sur la santé
229,248,E0723 - Hiccups,E0723 - Hoquet,Health Effect,Effet sur la santé
230,249,"HIV, Human Immunodeficiency Virus (Retired - use 296)","Virus de l'immunodéficience humaine, VIH (Retiré-utilise 296)",Health Effect,Effet sur la santé
231,250,E1204 - Hot Flashes/Flushes,E1204 - Bouffées de chaleur/bouffées congestives,Health Effect,Effet sur la santé
232,251,E0117 - Hydrocephalus,E0117 - Hydrocéphalie,Health Effect,Effet sur la santé
233,252,E1103 - Hyperbilirubinemia,E1103 - Hyperbilirubinémie,Health Effect,Effet sur la santé
234,253,E2322 - Hyperemia,E2322 - Hyperémie,Health Effect,Effet sur la santé
235,254,E1205 - Hyperglycemia,E1205 - Hyperglycémie,Health Effect,Effet sur la santé
236,256,E2323 - Hyperplasia,E2323 - Hyperplasie,Health Effect,Effet sur la santé
237,257,E0402 - Hypersensitivity/Allergic reaction,E0402 - Hypersensibilité/réaction allergique,Health Effect,Effet sur la santé
238,258,E2320 - High Blood Pressure/Hypertension,E2320 - Pression artérielle haute/hypertension,Health Effect,Effet sur la santé
239,259,E230102 - Hyperthermia,E230102 - Hyperthermie,Health Effect,Effet sur la santé
240,260,E0724 - Hyperventilation,E0724 - Hyperventilation,Health Effect,Effet sur la santé
241,261,E0304 - Hypervolemia,E0304 - Hypervolémie,Health Effect,Effet sur la santé
242,262,E0824 - Hyphema,E0824 - Hyphéma,Health Effect,Effet sur la santé
243,263,E013402 - Hypoesthesia,E013402 - Hypoesthésie,Health Effect,Effet sur la santé
244,264,"Hypoesthesia, Arm/Hand (Retired - use 263)",Hypoesthésie du bras/de la main (Retiré-utilise 263),Health Effect,Effet sur la santé
245,266,E1206 - Hypoglycemia,E1206 - Hypoglycémie,Health Effect,Effet sur la santé
246,267,E0825 - Hypopyon,E0825 - Hypopion,Health Effect,Effet sur la santé
247,268,E2321 - Low Blood Pressure/Hypotension,E2321 - Pression artérielle basse/hypotension,Health Effect,Effet sur la santé
248,269,E230103 - Hypothermia,E230103 - Hypothermie,Health Effect,Effet sur la santé
249,270,E0725 - Hypoventilation,E0725 - Hypoventilation,Health Effect,Effet sur la santé
250,271,E0305 - Hypovolemia,E0305 - Hypovolémie,Health Effect,Effet sur la santé
251,272,E0726 - Hypoxia,E0726 - Hypoxie,Health Effect,Effet sur la santé
252,273,Anoxia (Retired - use 272),Anoxie (Retiré-utilise 272),Health Effect,Effet sur la santé
253,274,Asphyxia (Retired - use 1144),Asphyxie (Retiré-utilise 1144),Health Effect,Effet sur la santé
254,275,E1508 - Hypoxia in Utero,E1508 - Hypoxie in utero,Health Effect,Effet sur la santé
255,276,Iatrogenic Source (Retired - use 636),Source iatrogène (Retiré-utilise 636),Health Effect,Effet sur la santé
256,277,E060107 - Idioventricular Rhythm,E060107 - Rythme idioventriculaire,Health Effect,Effet sur la santé
257,278,E0403 - Immunodeficiency,E0403 - Immunodéficience,Health Effect,Effet sur la santé
258,279,E2107 - Failure of Implant,E2107 - Défaillance de l'implant,Health Effect,Effet sur la santé
259,280,Limited Mobility Of The Implanted Joint (Retired - use 279),Mobilité réduite de l'implant articulaire (Retiré-utilise 279),Health Effect,Effet sur la santé
260,281,Impotence (Retired - use 1183),Impuissance (Retiré-utilise 1183),Health Effect,Effet sur la santé
261,282,E1612 - Inadequate Osseointegration,E1612 - Ostéointégration inadéquate,Health Effect,Effet sur la santé
262,284,E2324 - Incontinence,E2324 - Incontinence,Health Effect,Effet sur la santé
263,285,"Infarction, cerebral (Retired - use 77)",Infarctus cérébral (Retiré-utilise 77),Health Effect,Effet sur la santé
264,286,E1906 - Unspecified Infection,E1906 - Infection non précisée,Health Effect,Effet sur la santé
265,287,E1901 - Bacterial Infection,E1901 - Infection bactérienne,Health Effect,Effet sur la santé
266,288,E172001 - Abscess,E172001 - Abcès,Health Effect,Effet sur la santé
267,289,E172002 - Cellulitis,E172002 - Cellulite,Health Effect,Effet sur la santé
268,290,E190103 - Toxemia,E190103 - Toxémie,Health Effect,Effet sur la santé
269,291,"Infection, Direct (Retired - use 286)",Infection directe (Retiré-utilise 286),Health Effect,Effet sur la santé
270,292,E1902 - Fungal Infection,E1902 - Infection fongique,Health Effect,Effet sur la santé
271,294,E190102 - Pyogenic Infection,E190102 - Infection pyogène,Health Effect,Effet sur la santé
272,295,E1904 - Subclinical Infection,E1904 - Infection subclinique,Health Effect,Effet sur la santé
273,296,E1907 - Viral Infection,E1907 - Infection virale,Health Effect,Effet sur la santé
