IDX,PREF_NAME_CODE,PREF_DESC_E,PREF_DESC_F
43,74JOI,"PUMP, AIR, MANUAL CUFF INFLATING","POMPE MANUELLE, POUR GONFLEMENT DE BRASSARD"
44,74JOP,"TRANSDUCER, ULTRASONIC",TRANSDUCTEUR ULTRASONIQUE
45,74JOQ,"PULSE-GENERATOR, PACEMAKER, EXTERNAL, PROGRAMMABLE","GENERATEUR D'IMPULSIONS POUR STIMULATEUR CARDIAQUE, EXTERNE, PROGRAMMABLE"
46,74KRB,"PROBE, THERMODILUTION",SONDE A THERMODILUTION
47,74KRD,"DEVICE, EMBOLIZATION, ARTERIAL",INSTRUMENT POUR EMBOLISATION ARTERIELLE
48,74LCI,"SYSTEM, AUTOMATIC, RADIOIMMUNOASSAY, FOR CLINICAL USE","SYSTEME AUTOMATISE, DOSAGE RADIOIMMUNOLOGIQUE, POUR USAGE CLINIQUE"
49,74LDD,"DC-DEFIBRILLATOR, LOW-ENERGY, (INCLUDING PADDLES)",DEFIBRILLATEUR A FAIBLE COURANT CONTINU (ELECTRODES COMPRISES)
50,74LWS,"DEFIBRILLATOR,AUTOMATIC IMPLANTABLE CARDIOVERTER",DEFIBRILLATEUR A SYNCHRONISATION AUTOMATIQUE IMPLANTABLE
51,74MAF,"STENT, CARDIOVASCULAR",ENDOPROTHESE CARDIOVASCULAIRE
52,74MCW,"CATHETER, PERIPHERAL, ATHERECTOMY",CATHETER D'ATHERECTOMIE PERIPHERIQUE
53,74MKI,"GUIDEWIRE, PERIPHERAL, ABLATIVE",FIL-GUIDE POUR ABLATION PERIPHERIQUE
54,74MRM,"DEFIBRILLATOR, IMPLANTABLE, DUAL-CHAMBER",DEFIBRILLATEUR DOUBLE CHAMBRE IMPLANTABLE
55,74MXC,"RECORDER, EVENT, IMPLANTABLE CARDIAC (WITHOUT ARRHYTHMIADETECTION)",
56,74NFA,EMBOLIC PROTECTION DEVICE,DISPOSITIF DE PROTECTION CONTRE L'EMBOLISATION
57,74QGM,"CARDIAC OUTPUT UNIT, OTHER","DISPOSITIF DE MESURE DU DEBIT CARDIAQUE, AUTRE METHODE"
58,74QHH,"VALVE, CATHETER, FLUSH",VALVE DE CATHETER D'EVACUATION
59,74QHP,"CATHETER, CARDIAC THERMODILUTION",CATHETER DE THERMODILUTION CARDIAQUE
60,74QHY,"CATHETER, INTRA-AORTIC BALLOON",CATHETER A BALLONNET INTRA-AORTIQUE
61,74QOO,"DEFIBRILLATOR/MONITOR, BATTERY POWERED","DEFIBRILLATEUR/MONITEUR, A PILE"
62,74RMT,"PROSTHESIS, HEART (SEE 74LOZ)",PROTHESE CARDIAQUE (VOIR 74LOZ)
63,74RPX,"RETRACTOR, VESSEL",ECARTEUR DE VAISSEAUX
64,74RTI,"SIMULATOR, HEART SOUND",SIMULATEUR DE BRUITS DU COEUR
65,74UCH,"LEAD, PACEMAKER (CATHETER)",SONDE POUR STIMULATEUR CARDIAQUE (CATHETER)
66,74WLQ,"STENT, VASCULAR (SEE 74MAF)",ENDOPROTHESE VASCULAIRE (VOIR 74MAF)
67,75AEH,ANGIOTENSIN CONVERTING ENZYME (ACE),ENZYME DE CONVERSION DE L'ANGIOTENSINE (ECA)
68,75AEK,"URINE, REAGENT STRIP/TABLET TEST",BANDELETTES/COMPRIMES REACTIFS POUR TEST D'URINE
69,75AFX,LEAD/MERCURY TEST REAGENTS,REACTIFS POUR ANALYSE DU PLOMB ET DU MERCURE
70,75AHA,"HUMAN GROWTH HORMONE, ASSAY, HGH","HORMONE DE CROISSANCE HUMAINE (HCH), DOSAGE"
71,75AHY,"PHOSPHOLIPIDS, ASSAY","PHOSPHOLIPIDES, DOSAGE"
72,75AIC,PROLACTIN ASSAY,"PROLACTINE, DOSAGE"
73,75AIX,"THYROID STIMULATING HORMONE, TSH, ASSAY","THYREOSTIMULINE (TSH), DOSAGE"
74,75AJJ,"HUMAN LUTEINIZING HORMONE, LH, ASSAY","HORMONE LUTEINISANTE (LH) HUMAINE, DOSAGE"
75,75AJX,"CLINICAL REFERENCE,STANDARD,CALIBRATOR,CONTROL","SUBSTANCE DE REFERENCE, STANDARD, ETALON OU CONTROLE"
76,75AQD,"CHLAMYDIA, ASSAY (SERUM,PLASMA)","TEST DE DEPISTAGE DE CHLAMYDIA  (SERUM, PLASMA)"
77,75CDZ,"TESTOSTERONE AND DIHYDROTESTOSTERONE, BY RADIOIMMUNOASSAY","TESTOSTERONE ET DIHYDROTESTOSTERONE, PAR DOSAGE RADIOIMMUNOLOGIQUE"
78,75CEP,"LUTEINIZING HORMONE, BY RADIOIMMUNOASSAY","HORMONE LUTEINISANTE, PAR DOSAGE RADIOIMMUNOLOGIQUE"
79,75CFE,"LACTATE DEHYDROGENASE ISOENZYMES, BY ELECTROPHORETIC","ISOENZYMES DE LA LACTICODESHYDROGENASE, PAR ELECTROPHORESE"
80,75CGA,"GLUCOSE, BY GLUCOSE OXIDASE","GLUCOSE, PAR OXYDASE"
81,75CGI,"ESTRIOL, BY RADIOIMMUNOASSAY","OESTRIOL, PAR DOSAGE RADIOIMMUNOLOGIQUE"
82,75CGS,"CPK OR ISOENZYMES, NAD REDUCTION/NADH OXIDATION","CPK OU ISOENZYMES, PAR REDUCTION DE NAD/OXYDATION DE NADH"
83,75CGX,"CREATININE, BY ALKALINE PICRATE, COLORIMETRY","CREATININE, PAR PICRATE ALCALIN (COLORIMETRIE)"
84,75CIB,"ANGIOTENSIN 1 AND RENIN, BY RADIOIMMUNUOASSAY","ANGIOTENSINE I ET RENINE, PAR DOSAGE RADIOIMMUNOLOGIQUE"
85,75CIC,"CALCIUM, BY CRESOLPHTHALEIN COMPLEXONE","CALCIUM, PAR  CRESOLPHTHALEINE COMPLEXONE"
86,75CIW,"AMYLASE, BY STARCH-DYE BOUND POLYMER","AMYLASE, PAR POLYMERE D'AMIDON COLORE"
87,75CJR,"ACID,PHOSPHOTASE,THYMOL BLUE MONOPHOSPHATE","PHOSPHATASE ACIDE, PAR MONOPHOSPHATE DE BLEU DE THYMOL"
88,75CKG,"ACTH, BY RADIOIMMUNOASSAY","HORMONE ADRENOCORTICOTROPE, PAR DOSAGE RADIOIMMUNOLOGIQUE"
89,75DHA,"HUMAN CHORIONIC GONADOTROPIN, TEST, SYSTEM",DISPOSITIF DE DETECTION DE L'HORMONE GONADOTROPHINE CHORIONIQUE HUMAINE
90,75JIE,"AMMONIA, METHOD ION EXCHANGE","AMMONIAC, PAR ECHANGE D'IONS"
91,75JKC,"DEHYDROEPIANDROSTERONE (FREE AND SULFATE), BYRADIOIMMUNOASSAY","DEHYDROEPIANDROSTERONE (LIBRE OU SOUS FORME DE SULFATE), PAR DOSAGE RADIOIMMUNOLOGIQUE"
92,75JMM,"HYDROXYPROLINE, COLUMN CHROMATOGRAPHY & COLORDEVELOPMENT","HYDROXYPROLINE,  CHROMATOGRAPHIE SUR COLONNE ET DEVELOPPEMENT CHROMOGENE"
93,75JNC,"PHENYLALANINE, BY COLUMN OR PAPER CHROMATOGRAPHY PLUSNINYDRIN","PHENYLALANINE, PAR CHROMATOGRAPHIE SUR COLONNE OU SUR PAPIER ET NINHYDRINE"
94,75JOA,"VITAMIN A, HEXANE EXTRACTION, ACID, TRIFLUOROACETIC","VITAMINE A, EXTRACTION A L'HEXANE, ACIDE TRIFLUOROACETIQUE"
95,75JQG,"IRON BINDING CAPACITY, FE59, RADIOMETRIC","CAPACITE DE FIXATION DU FER, FE59, PAR RADIOMETRIE"
96,75LBR,"HDL, BY LDL, & VLDL PRECIPITATION","HDL, PAR PRECIPITATION DES LDL ET DES VLDL"
97,75LBS,"CHOLESTEROL VIA ESTERASE-OXIDASE, LDL, & VLDL PRECIPITATION","CHOLESTEROL, PAR ESTERASE OXYDASE ET PRECIPITATION DES LDL ET DES VLDL"
98,75LCX,"PREGNANCY TEST KIT, HCG, OTC","NECESSAIRE POUR TEST DE GROSSESSE, HCG, EN VENTE LIBRE"
99,75LFR,"GLUCOSE, BY GLUCOSE DEHYDROGENASE","GLUCOSE, PAR GLUCOSE DESHYDROGENASE"
100,75LKV,FETAL FIBRONECTIN,FIBRONECTINE FOETALE
101,75LXG,"EQUIPMENT,LABORATORY,GENERAL PURPOSE,LABBELLED OR PROMOTEDFOR A SPECIFIC MEDICAL USE","MATERIEL DE LABORATOIRE A USAGE GENERAL, ETIQUETE OU PRESENTE A DES FINS MEDICALES PARTICULIERES"
102,75NAM,"STIMULATOR, PELVIC NERVE,NON-IMPLANTED FOR PELVIC FLOORDYSFUNCTION","STIMULATEUR DU NERF PELVIEN NON IMPLANTE, POUR TRAITEMENT DES DYSFONCTIONS DU PLANCHER PELVIEN"
103,75NAQ,"LIPOPROTEIN, HIGH DENSITY, HDL, OTC","LIPOPROTEINES A HAUTE DENSITE (HDL), EN VENTE LIBRE"
104,75NDR,INHIBIN-A,INHIBINE A
105,75QDL,BILIRUBINOMETER,BILIRUBINOMETRE
106,75RUL,"SPECTROPHOTOMETER, FLUORESCENCE",SPECTROPHOTOMETRE A FLUORESCENCE
107,75RUO,"SPECTROPHOTOMETER, ULTRAVIOLET/VISIBLE",SPECTROPHOTOMETRE ULTRAVIOLET/LUMIERE VISIBLE
108,75TGI,PIPETTE TIP,EMBOUT DE PIPETTE
109,75UJM,"ANALYZER, CHEMISTRY, ELISA","ANALYSEUR BIOCHIMIQUE, ELISA"
110,75VIN,"ANALYZER, BLOODGAS/HEAMATOLOGY/ELECTROLYTES, POC","ANALYSEUR DE GAZ SANGUINS/HEMATOLOGIE/ELECTROLYTES, POUR USAGE AU POINT D'INTERVENTION"
111,76ANB,"ALIGNMENT SYSTEM, ORTHODONTIC",APPAREIL D'ALIGNEMENT ORTHODONTIQUE
112,76DYX,"LOCK, WIRE, AND LIGATURE, INTRAORAL",LIGATURE METALLIQUE INTRAORALE
113,76EAW,"KIT,PLAQUE DISCLOSING",NECESSAIRE DE REVELATION DE LA PLAQUE
114,76EAX,"MIRROR, MOUTH",MIROIR BUCCAL
115,76EBC,"SEALANT, PIT AND FISSURE, AND CONDITIONER, RESIN",RESINE ET AGENT DE CONDITIONNEMENT POUR SCELLEMENT DES PUITS ET FISSURES
116,76EBH,"MATERIAL, IMPRESSION TRAY, RESIN","MATERIAU POUR PORTE-EMPREINTE, EN RESINE"
117,76EBR,"UNIT, SUCTION OPERATORY",UNITE D'ASPIRATION OPERATOIRE
118,76EBZ,"ACTIVATOR, ULTRAVIOLET, FOR POLYMERIZATION",APPAREIL DE POLYMERISATION A ULTRAVIOLET
119,76ECT,"DRIVER, BAND, ORTHODONTIC","ENFONCE-BAGUE ORTHODONTIQUE, ORIENTABLE"
120,76EFL,"FORCEPS, DRESSING, DENTAL",PINCE A PANSEMENT DENTAIRE
121,76EFN,"COTTON, ROLL",ROULEAU DE COTON
122,76EGM,"INJECTOR, JET, MECHANICAL-POWERED","INJECTEUR SANS AIGUILLE, MECANIQUE"
123,76EHJ,"DISK, ABRASIVE",DISQUE ABRASIF
124,76EIC,"SYRINGE, PERIODONTIC, ENDODONTIC, IRRIGATING",SERINGUE A IRRIGATION PARODONTIQUE/ENDODONTIQUE
125,76EKP,"REAMER, PULP CANAL, ENDODONTIC","ALESOIR POUR CANAUX, ENDODONTIQUE"
126,76EKX,"HANDPIECE, DIRECT DRIVE, AC-POWERED","PIECE A MAIN A ENTRAINEMENT DIRECT, A COURANT ALTERNATIF"
127,76EKY,"HANDPIECE, WATER-POWERED",PIECE A MAIN HYDRAULIQUE
128,76ELW,"MATERIAL, ALL, IMPRESSION",PRODUIT POUR EMPREINTE (EN TOUS GENRES)
129,76EMR,"FILE, ORTHODONTIC,PERIODONTIC",LIME PARODONTALE ORTHODONTIQUE
130,76JEQ,"TOOTHBRUSH, POWERED",BROSSE A DENTS ELECTRIQUE
131,76KLE,"AGENT,TOOTH BONDING,RESIN",LIANT DENTAIRE POUR RESTAURATION DE RESINE
132,76KMY,"POSITIONER, TOOTH, PREFORMED",APPAREIL DE CONTENTION AMOVIBLE PREFORME
133,76LWM,"DEVICE, ELECTRICAL DENTAL ANESTHESIA",APPAREIL D'ANESTHESIE DENTAIRE ELECTRONIQUE
134,76MQC,MOUTHGUARD,PROTEGE-DENTS
135,76QOW,"MATERIAL, DENTAL FILLING",PATE D'OBTURATION DENTAIRE
136,77ATH,"STENT, LARYNGEAL",ENDOPROTHESE LARYNGEE
137,77EPG,"STIMULATOR, TRANSDERMAL",STIMULATEUR PERCUTANE
138,77ESH,"POLYMER, ENT SYNTHETIC-PIFE, SILICONE ELASTOMER,POLYETHYLENE, POLYURETHANE","POLYMERE DE SYNTHESE, ORL - PIFE, ELASTOMERE DE SILICONE, POLYETHYLENE, POLYURETHANE"
139,77EWD,"PROTECTOR, HEARING (INSERT)",PROTECTEUR D'OREILLE (A INSERER DANS L'OREILLE)
140,77JAZ,"PROSTHESIS, FACIAL, MANDIBULAR IMPLANT",PROTHESE MANDIBULAIRE IMPLANTEE
141,77JYJ,"GAUGE, MEASURING",JAUGE A MESURER
142,77KCF,"DILATOR, ESOPHAGEAL, ENT","DILATATEUR OESOPHAGIEN, ORL"
143,77KHJ,"POLYMER, ENT SYNTHETIC-POLYAMIDE (MESH OR FOIL MATERIAL)","POLYMERE SYNTHETIQUE, ORL - POLYAMIDE (FILET OU FEUILLE)"
144,77LMR,COCHLEAR IMPLANT,IMPLANT COCHLEAIRE
145,77LWF,"DILATOR, NASAL",DILATATEUR NASAL
146,77MMO,"TRAY, SURGICAL, ENT","PLATEAU CHIRURGICAL, ORL"
147,77MXP,BONE PARTICLE COLLECTOR,COLLECTEUR DE PARTICULES OSSEUSES
148,77NIX,IMPLANTED HEARING AID,APPAREIL AUDITIF IMPLANTE
149,77QZH,"ANALYZER, HEARING-AID (SEE 77EWM)",DISPOSITIF D'ANALYSE DES APPAREILS AUDITIFS (VOIR 77EWM)
150,78ACQ,"LIGHT SOURCE, HALOGEN",SOURCE DE LUMIERE HALOGENE
151,78AEN,"STIMULATOR, ELECTRICAL, IMPLANTED FOR GASTROPARESIS","STIMULATEUR ELECTRIQUE IMPLANTE, POUR GASTROPARESIE"
152,78ANS,"ACCESSORIES, OSTOMY",ACCESSOIRES POUR STOMIE
153,78FBK,"NEEDLE, ENDOSCOPIC",AIGUILLE ENDOSCOPIQUE
154,78FCE,"KIT, ENEMA, (FOR CLEANING PURPOSE)",TROUSSE POUR LAVEMENT (A DES FINS D'ASSAINISSEMENT)
155,78FCG,"SET, BIOPSY NEEDLE AND GUN",ENSEMBLE D'AIGUILLE ET DE PISTOLET A BIOPSIE
156,78FCL,"FORCEPS, BIOPSY, NON-ELECTRIC","PINCE A BIOPSIE, NON ELECTRIQUE"
157,78FDF,"COLONOSCOPE,GASTRO-UROLOGY","COLONOSCOPE, GASTRO-UROLOGIE"
158,78FER,"ANOSCOPE, NON-POWERED","ANUSCOPE, NON ELECTRIQUE"
159,78FGC,URETHROSCOPE,URETROSCOPE
160,78FGX,"SNARE, NON-ELECTRICAL","ANSE, NON ELECTRIQUE"
161,78FIG,"CLAMP, TUBING, BLOOD, AUTOMATIC","PINCE A TUBAGE POUR PERFUSION SANGUINE, AUTOMATIQUE"
162,78FJI,"DIALYZER, CAPILLARY, HOLLOW FIBER",DIALYSEUR DE DRAINAGE CAPILLAIRE A FIBRES CREUSES
163,78FKR,"SUBSYSTEM, PROPORTIONING",SOUS-SYSTEME DE DOSAGE
164,78FKY,"CONNECTOR, TUBING, DIALYSATE","CONNECTEUR POUR TUBAGE, POUR DYALISAT"
165,78FRQ,"TUBE, LEVINE",SONDE DE LEVIN (NASOGASTRIQUE)
166,78GBT,"CATHETER, RECTAL",SONDE RECTALE
167,78GCK,"GASTROSCOPE, GENERAL & PLASTIC SURGERY","GASTROSCOPE, POUR CHIRURGIE GENERALE ET PLASTIQUE"
168,78JCW,"PROSTHESIS, PENIS, INFLATABLE","PROTHESE PENIENNE, GONFLABLE"
169,78KDN,SYSTEM PERFUSION KIDNEY,SYSTEME DE PERFUSION RENALE
170,78KNT,"TUBE, GASTROINTESTINAL (AND ACCESSORIES)",TUBE GASTROINTESTINAL (ET ACCESSOIRES)
171,78KPF,SEMI-AUTOMATIC PERITONEAL DIALYSATE DELIVERY SYSTEM,SYSTEME SEMI-AUTOMATIQUE DE DIALYSE PERITONEALE
172,78KPN,"ALARM, ENURESIS, CONDITIONED RESPONSE, BED WETTING","ALARME POUR ENURESIE NOCTURNE, POUR DECLENCHEMENT D'UN REFLEXE CONDITIONNE"
173,78KPO,DIALYSATE CONCENTRATE FOR HEMODIALYSIS (LIQUID OR POWDER),DIALYSAT CONCENTRE POUR HEMODIALYSE (LIQUIDE OU EN POUDRE)
174,78LKN,"SEPARATOR, AUTOMATED, BLOOD CELL AND PLASMA, THERAPEUTIC USE","SEPARATEUR AUTOMATISE DE CELLULES SANGUINES ET DE PLASMA, POUR USAGE THERAPEUTIQUE"
175,78LNR,EXTRACORPOREAL PHOTOPHERSIS SYSTEM,SYSTEME DE PHOTOCHIMIOTHERAPIE EXTRACORPORELLE
176,78LTI,INTRAGASTRIC IMPLANT FOR MORBID OBESITY,IMPLANT INTRAGASTRIQUE POUR OBESITE MORBIDE
177,78MIK,"DEVICE, ULTRASONIC, THERMAL ABLATION",APPAREIL A ULTRASONS POUR ABLATION THERMIQUE
178,78MJC,"CATHETER, UROLOGICAL (ANTIMICROBIAL) AND ACCESSORIES",CATHETER UROLOGIQUE (ANTIMICROBIEN) ET ACCESSOIRES
179,78MNL,"ACCESSORIES, CLEANING BRUSHES, FOR ENDOSCOPE",ACCESSOIRES ET BROSSES DE NETTOYAGE POUR ENDOSCOPE
180,78MSD,"CATHETER, HEMODIALYSIS, IMPLANTED","CATHETER D'HEMODIALYSE, IMPLANTE"
181,78MUK,"PROBE, HEATING, TISSUE, LAPAROSCOPE",SONDE LAPARASCOPIQUE CHAUFFANT LES TISSUS
182,78MXU,"DEVICE, TRANSURETHRAL, FOR CONTROLLED URINATION","DISPOSITIF TRANSURETRAL, POUR MICTION CONTROLEE"
183,78QBX,"ASPIRATOR, ULTRASONIC (SEE 85MGI)",ASPIRATEUR ULTRASONIQUE (VOIR 85MGI)
184,78QIV,"CATHETER, OTHER","CATHETER, AUTRE"
185,78VJF,"ENDOSCOPE, ULTRASONIC PROBE (LITHOTRIPTOR)",SONDE ENDOSCOPIQUE A ULTRASONS (LITHOTRITEUR)
186,79ACT,"CLAMP, ANASTOMOSIS",CLAMP A ANASTOMOSE
187,79ADU,BIOPROSTHESIS STORAGE SOLUTION,SOLUTION DE STOCKAGE POUR BIOPROTHESE
188,79ADX,"FORCEPS, BIOPSY",PINCE A BIOPSIE
189,79AVO,"PROSTHESIS, BREAST, NONINFLATABLE, INTERNAL, SALINE","PROTHESE MAMMAIRE, NON GONFLABLE, INTERNE, SOLUTION SALINE"
190,79BWN,"TABLE AND ATTACHMENTS, OPERATING ROOM",TABLE DE SALLE D'OPERATION ET ACCESSOIRES
191,79EPT,"MICROSCOPE, SURGICAL",MICROSCOPE CHIRURGICAL
192,79EZX,"MESH, METAL",TREILLIS METALLIQUE
193,79FTM,"MESH, SURGICAL",TREILLIS CHIRURGICAL
194,79FTS,"CAMERA, CINE, ENDOSCOPIC, WITH AUDIO","CINECAMERA, POUR ENDOSCOPIE, AVEC AUDIO"
195,79FWL,"CAMERA, CINE, ENDOSCOPIC, WITHOUT AUDIO","CINECAMERA, POUR ENDOSCOPIE, SANS AUDIO"
196,79FWM,"PROSTHESIS, BREAST, INFLATABLE, INTERNAL, SALINE","PROTHESE MAMMAIRE, GONFLABLE, INTERNE, REMPLIE DE SOLUTION SALINE"
197,79FYC,"GOWN, ISOLATION, SURGICAL","BLOUSE DE CONTAGION, POUR CHIRURGIE"
198,79GAC,"RASP, SURGICAL, GENERAL & PLASTIC SURGERY","RAPE CHIRURGICALE, POUR CHIRURGIE GENERALE ET PLASTIQUE"
199,79GAH,"STYLET, SURGICAL, GENERAL & PLASTIC SURGERY","STYLET CHIRURGICAL, POUR CHIRURGIE GENERALE ET PLASTIQUE"
200,79GBA,"CATHETER, BALLOON TYPE",CATHETER A BALLONNET
201,79GDZ,"HANDLE, SCALPEL",MANCHE DE SCALPEL
202,79GES,"BLADE, SCALPEL",LAME DE SCALPEL
203,79GEX,"INSTRUMENT, SURGICAL, POWERED, LASER","INSTRUMENT CHIRURGICAL AU LASER, ELECTRIQUE"
204,79HRM,"MICROSCOPE, OPERATING & ACCESSORIES, AC-POWERED, OPHTHALMIC","MICROSCOPE ET ACCESSOIRES, A COURANT ALTERNATIF, OPHTALMIQUE"
205,79JCT,"PROSTHESIS, TRACHEAL",PROTHESE TRACHEALE
206,79JYD,"CHISEL, MASTOID",BURIN POUR MASTOIDE
207,79KDD,"SURGICAL INSTRUMENT KIT, DISPOSABLE",TROUSSE D'INSTRUMENTS CHIRURGICAUX JETABLES
208,79LCJ,"SKIN EXPANDER, INFLATABLE","EXPANDEUR DE PEAU, GONFLABLE"
209,79LEJ,"BOOTH, SUN TAN",CABINE DE BRONZAGE
210,79LFL,"INSTRUMENT, ULTRASONIC SURGICAL",INSTRUMENT CHIRURGICAL A ULTRASONS
211,79LMG,ABSORBABLE HEMOSTATIC AGENTS NON-COLLAGEN BASED,"AGENTS HEMOSTATIQUES RESORBABLES, NON A BASE DE COLLAGENE"
212,79LMH,DERMAL IMPLANTS OF COLLAGEN FOR AESTHETIC USE,"IMPLANTS DERMIQUES DE COLLAGENE, A DES FINS ESTHETIQUES"
213,79LXZ,INSTRUMENT GUARD,PROTEGE-INSTRUMENT
214,79MOQ,"BATTERY, REPLACEMENT, RECHARGEABLE","PILE DE REMPLACEMENT, RECHARGEABLE"
215,79MUU,"SYSTEM, SUCTION, LIPOPLASTY",DISPOSITIF D'ASPIRATION POUR LIPOPLASTIE
216,79MXG,"LAMP, UVC (FOR TREATING SKIN AND WOUNDS)",LAMPE A UVC (POUR LE TRAITEMENT DE LA PEAU ET DES PLAIES)
217,79MXW,"SUTURE, SURGICAL, NONABSORBABLE, POLY(VINYLIDENE FLUORIDE)","SUTURE CHIRURGICALE NON RESORBABLE, EN POLYFLUORURE DE VINYLIDENE"
