PREF_NAME_CODE,PREF_DESC_E,PREF_DESC_F
74JOQ,PULSE-GENERATOR PACEMAKER EXTERNAL PROGRAMMABLE,GENERATEUR D'IMPULSIONS POUR STIMULATEUR CARDIAQUE EXTERNE PROGRAMMABLE
74KRB,PROBE THERMODILUTION,SONDE A THERMODILUTION
74KRD,DEVICE EMBOLIZATION ARTERIAL,INSTRUMENT POUR EMBOLISATION ARTERIELLE
74LCI,SYSTEM AUTOMATIC RADIOIMMUNOASSAY FOR CLINICAL USE,SYSTEME AUTOMATISE DOSAGE RADIOIMMUNOLOGIQUE POUR USAGE CLINIQUE
74LDD,DC-DEFIBRILLATOR LOW-ENERGY (INCLUDING PADDLES),DEFIBRILLATEUR A FAIBLE COURANT CONTINU (ELECTRODES COMPRISES)
74LWS,DEFIBRILLATORAUTOMATIC IMPLANTABLE CARDIOVERTER,DEFIBRILLATEUR A SYNCHRONISATION AUTOMATIQUE IMPLANTABLE
74MAF,STENT CARDIOVASCULAR,ENDOPROTHESE CARDIOVASCULAIRE
74MCW,CATHETER PERIPHERAL ATHERECTOMY,CATHETER D'ATHERECTOMIE PERIPHERIQUE
74MKI,GUIDEWIRE PERIPHERAL ABLATIVE,FIL-GUIDE POUR ABLATION PERIPHERIQUE
74MRM,DEFIBRILLATOR IMPLANTABLE DUAL-CHAMBER,DEFIBRILLATEUR DOUBLE CHAMBRE IMPLANTABLE
74MXC,RECORDER EVENT IMPLANTABLE CARDIAC (WITHOUT ARRHYTHMIADETECTION),
74NFA,EMBOLIC PROTECTION DEVICE,DISPOSITIF DE PROTECTION CONTRE L'EMBOLISATION
74QGM,CARDIAC OUTPUT UNIT OTHER,DISPOSITIF DE MESURE DU DEBIT CARDIAQUE AUTRE METHODE
74QHH,VALVE CATHETER FLUSH,VALVE DE CATHETER D'EVACUATION
74QHP,CATHETER CARDIAC THERMODILUTION,CATHETER DE THERMODILUTION CARDIAQUE
74QHY,CATHETER INTRA-AORTIC BALLOON,CATHETER A BALLONNET INTRA-AORTIQUE
74QOO,DEFIBRILLATOR/MONITOR BATTERY POWERED,DEFIBRILLATEUR/MONITEUR A PILE
74RMT,PROSTHESIS HEART (SEE 74LOZ),PROTHESE CARDIAQUE (VOIR 74LOZ)
74RPX,RETRACTOR VESSEL,ECARTEUR DE VAISSEAUX
74RTI,SIMULATOR HEART SOUND,SIMULATEUR DE BRUITS DU COEUR
74UCH,LEAD PACEMAKER (CATHETER),SONDE POUR STIMULATEUR CARDIAQUE (CATHETER)
74WLQ,STENT VASCULAR (SEE 74MAF),ENDOPROTHESE VASCULAIRE (VOIR 74MAF)
75AEH,ANGIOTENSIN CONVERTING ENZYME (ACE),ENZYME DE CONVERSION DE L'ANGIOTENSINE (ECA)
75AEK,URINE REAGENT STRIP/TABLET TEST,BANDELETTES/COMPRIMES REACTIFS POUR TEST D'URINE
75AFX,LEAD/MERCURY TEST REAGENTS,REACTIFS POUR ANALYSE DU PLOMB ET DU MERCURE
75AHA,HUMAN GROWTH HORMONE ASSAY HGH,HORMONE DE CROISSANCE HUMAINE (HCH) DOSAGE
75AHY,PHOSPHOLIPIDS ASSAY,PHOSPHOLIPIDES DOSAGE
75AIC,PROLACTIN ASSAY,PROLACTINE DOSAGE
75AIX,THYROID STIMULATING HORMONE TSH ASSAY,THYREOSTIMULINE (TSH) DOSAGE
75AJJ,HUMAN LUTEINIZING HORMONE LH ASSAY,HORMONE LUTEINISANTE (LH) HUMAINE DOSAGE
75AJX,CLINICAL REFERENCESTANDARDCALIBRATORCONTROL,SUBSTANCE DE REFERENCE STANDARD ETALON OU CONTROLE
75AQD,CHLAMYDIA ASSAY (SERUMPLASMA),TEST DE DEPISTAGE DE CHLAMYDIA  (SERUM PLASMA)
75CDZ,TESTOSTERONE AND DIHYDROTESTOSTERONE BY RADIOIMMUNOASSAY,TESTOSTERONE ET DIHYDROTESTOSTERONE PAR DOSAGE RADIOIMMUNOLOGIQUE
75CEP,LUTEINIZING HORMONE BY RADIOIMMUNOASSAY,HORMONE LUTEINISANTE PAR DOSAGE RADIOIMMUNOLOGIQUE
75CFE,LACTATE DEHYDROGENASE ISOENZYMES BY ELECTROPHORETIC,ISOENZYMES DE LA LACTICODESHYDROGENASE PAR ELECTROPHORESE
75CGA,GLUCOSE BY GLUCOSE OXIDASE,GLUCOSE PAR OXYDASE
75CGI,ESTRIOL BY RADIOIMMUNOASSAY,OESTRIOL PAR DOSAGE RADIOIMMUNOLOGIQUE
75CGS,CPK OR ISOENZYMES NAD REDUCTION/NADH OXIDATION,CPK OU ISOENZYMES PAR REDUCTION DE NAD/OXYDATION DE NADH
75CGX,CREATININE BY ALKALINE PICRATE COLORIMETRY,CREATININE PAR PICRATE ALCALIN (COLORIMETRIE)
75CIB,ANGIOTENSIN 1 AND RENIN BY RADIOIMMUNUOASSAY,ANGIOTENSINE I ET RENINE PAR DOSAGE RADIOIMMUNOLOGIQUE
75CIC,CALCIUM BY CRESOLPHTHALEIN COMPLEXONE,CALCIUM PAR  CRESOLPHTHALEINE COMPLEXONE
75CIW,AMYLASE BY STARCH-DYE BOUND POLYMER,AMYLASE PAR POLYMERE D'AMIDON COLORE
75CJR,ACIDPHOSPHOTASETHYMOL BLUE MONOPHOSPHATE,PHOSPHATASE ACIDE PAR MONOPHOSPHATE DE BLEU DE THYMOL
75CKG,ACTH BY RADIOIMMUNOASSAY,HORMONE ADRENOCORTICOTROPE PAR DOSAGE RADIOIMMUNOLOGIQUE
75DHA,HUMAN CHORIONIC GONADOTROPIN TEST SYSTEM,DISPOSITIF DE DETECTION DE L'HORMONE GONADOTROPHINE CHORIONIQUE HUMAINE
75JIE,AMMONIA METHOD ION EXCHANGE,AMMONIAC PAR ECHANGE D'IONS
75JKC,DEHYDROEPIANDROSTERONE (FREE AND SULFATE) BYRADIOIMMUNOASSAY,DEHYDROEPIANDROSTERONE (LIBRE OU SOUS FORME DE SULFATE) PAR DOSAGE RADIOIMMUNOLOGIQUE
75JMM,HYDROXYPROLINE COLUMN CHROMATOGRAPHY & COLORDEVELOPMENT,HYDROXYPROLINE  CHROMATOGRAPHIE SUR COLONNE ET DEVELOPPEMENT CHROMOGENE
75JNC,PHENYLALANINE BY COLUMN OR PAPER CHROMATOGRAPHY PLUSNINYDRIN,PHENYLALANINE PAR CHROMATOGRAPHIE SUR COLONNE OU SUR PAPIER ET NINHYDRINE
75JOA,VITAMIN A HEXANE EXTRACTION ACID TRIFLUOROACETIC,VITAMINE A EXTRACTION A L'HEXANE ACIDE TRIFLUOROACETIQUE
75JQG,IRON BINDING CAPACITY FE59 RADIOMETRIC,CAPACITE DE FIXATION DU FER FE59 PAR RADIOMETRIE
75LBR,HDL BY LDL & VLDL PRECIPITATION,HDL PAR PRECIPITATION DES LDL ET DES VLDL
75LBS,CHOLESTEROL VIA ESTERASE-OXIDASE LDL & VLDL PRECIPITATION,CHOLESTEROL PAR ESTERASE OXYDASE ET PRECIPITATION DES LDL ET DES VLDL
75LCX,PREGNANCY TEST KIT HCG OTC,NECESSAIRE POUR TEST DE GROSSESSE HCG EN VENTE LIBRE
75LFR,GLUCOSE BY GLUCOSE DEHYDROGENASE,GLUCOSE PAR GLUCOSE DESHYDROGENASE
75LKV,FETAL FIBRONECTIN,FIBRONECTINE FOETALE
75LXG,EQUIPMENTLABORATORYGENERAL PURPOSELABBELLED OR PROMOTEDFOR A SPECIFIC MEDICAL USE,MATERIEL DE LABORATOIRE A USAGE GENERAL ETIQUETE OU PRESENTE A DES FINS MEDICALES PARTICULIERES
75NAM,STIMULATOR PELVIC NERVENON-IMPLANTED FOR PELVIC FLOORDYSFUNCTION,STIMULATEUR DU NERF PELVIEN NON IMPLANTE POUR TRAITEMENT DES DYSFONCTIONS DU PLANCHER PELVIEN
75NAQ,LIPOPROTEIN HIGH DENSITY HDL OTC,LIPOPROTEINES A HAUTE DENSITE (HDL) EN VENTE LIBRE
75NDR,INHIBIN-A,INHIBINE A
75QDL,BILIRUBINOMETER,BILIRUBINOMETRE
75RUL,SPECTROPHOTOMETER FLUORESCENCE,SPECTROPHOTOMETRE A FLUORESCENCE
75RUO,SPECTROPHOTOMETER ULTRAVIOLET/VISIBLE,SPECTROPHOTOMETRE ULTRAVIOLET/LUMIERE VISIBLE
75TGI,PIPETTE TIP,EMBOUT DE PIPETTE
75UJM,ANALYZER CHEMISTRY ELISA,ANALYSEUR BIOCHIMIQUE ELISA
75VIN,ANALYZER BLOODGAS/HEAMATOLOGY/ELECTROLYTES POC,ANALYSEUR DE GAZ SANGUINS/HEMATOLOGIE/ELECTROLYTES POUR USAGE AU POINT D'INTERVENTION
76ANB,ALIGNMENT SYSTEM ORTHODONTIC,APPAREIL D'ALIGNEMENT ORTHODONTIQUE
76DYX,LOCK WIRE AND LIGATURE INTRAORAL,LIGATURE METALLIQUE INTRAORALE
76EAW,KITPLAQUE DISCLOSING,NECESSAIRE DE REVELATION DE LA PLAQUE
76EAX,MIRROR MOUTH,MIROIR BUCCAL
76EBC,SEALANT PIT AND FISSURE AND CONDITIONER RESIN,RESINE ET AGENT DE CONDITIONNEMENT POUR SCELLEMENT DES PUITS ET FISSURES
76EBH,MATERIAL IMPRESSION TRAY RESIN,MATERIAU POUR PORTE-EMPREINTE EN RESINE
76EBR,UNIT SUCTION OPERATORY,UNITE D'ASPIRATION OPERATOIRE
76EBZ,ACTIVATOR ULTRAVIOLET FOR POLYMERIZATION,APPAREIL DE POLYMERISATION A ULTRAVIOLET
76ECT,DRIVER BAND ORTHODONTIC,ENFONCE-BAGUE ORTHODONTIQUE ORIENTABLE
76EFL,FORCEPS DRESSING DENTAL,PINCE A PANSEMENT DENTAIRE
76EFN,COTTON ROLL,ROULEAU DE COTON
76EGM,INJECTOR JET MECHANICAL-POWERED,INJECTEUR SANS AIGUILLE MECANIQUE
76EHJ,DISK ABRASIVE,DISQUE ABRASIF
76EIC,SYRINGE PERIODONTIC ENDODONTIC IRRIGATING,SERINGUE A IRRIGATION PARODONTIQUE/ENDODONTIQUE
76EKP,REAMER PULP CANAL ENDODONTIC,ALESOIR POUR CANAUX ENDODONTIQUE
76EKX,HANDPIECE DIRECT DRIVE AC-POWERED,PIECE A MAIN A ENTRAINEMENT DIRECT A COURANT ALTERNATIF
76EKY,HANDPIECE WATER-POWERED,PIECE A MAIN HYDRAULIQUE
76ELW,MATERIAL ALL IMPRESSION,PRODUIT POUR EMPREINTE (EN TOUS GENRES)
76EMR,FILE ORTHODONTICPERIODONTIC,LIME PARODONTALE ORTHODONTIQUE
76JEQ,TOOTHBRUSH POWERED,BROSSE A DENTS ELECTRIQUE
76KLE,AGENTTOOTH BONDINGRESIN,LIANT DENTAIRE POUR RESTAURATION DE RESINE
76KMY,POSITIONER TOOTH PREFORMED,APPAREIL DE CONTENTION AMOVIBLE PREFORME
76LWM,DEVICE ELECTRICAL DENTAL ANESTHESIA,APPAREIL D'ANESTHESIE DENTAIRE ELECTRONIQUE
76MQC,MOUTHGUARD,PROTEGE-DENTS
76QOW,MATERIAL DENTAL FILLING,PATE D'OBTURATION DENTAIRE
77ATH,STENT LARYNGEAL,ENDOPROTHESE LARYNGEE
77EPG,STIMULATOR TRANSDERMAL,STIMULATEUR PERCUTANE
77ESH,POLYMER ENT SYNTHETIC-PIFE SILICONE ELASTOMERPOLYETHYLENE POLYURETHANE,POLYMERE DE SYNTHESE ORL - PIFE ELASTOMERE DE SILICONE POLYETHYLENE POLYURETHANE
77EWD,PROTECTOR HEARING (INSERT),PROTECTEUR D'OREILLE (A INSERER DANS L'OREILLE)
77JAZ,PROSTHESIS FACIAL MANDIBULAR IMPLANT,PROTHESE MANDIBULAIRE IMPLANTEE
77JYJ,GAUGE MEASURING,JAUGE A MESURER
77KCF,DILATOR ESOPHAGEAL ENT,DILATATEUR OESOPHAGIEN ORL
77KHJ,POLYMER ENT SYNTHETIC-POLYAMIDE (MESH OR FOIL MATERIAL),POLYMERE SYNTHETIQUE ORL - POLYAMIDE (FILET OU FEUILLE)
77LMR,COCHLEAR IMPLANT,IMPLANT COCHLEAIRE
77LWF,DILATOR NASAL,DILATATEUR NASAL
77MMO,TRAY SURGICAL ENT,PLATEAU CHIRURGICAL ORL
77MXP,BONE PARTICLE COLLECTOR,COLLECTEUR DE PARTICULES OSSEUSES
77NIX,IMPLANTED HEARING AID,APPAREIL AUDITIF IMPLANTE
77QZH,ANALYZER HEARING-AID (SEE 77EWM),DISPOSITIF D'ANALYSE DES APPAREILS AUDITIFS (VOIR 77EWM)
78ACQ,LIGHT SOURCE HALOGEN,SOURCE DE LUMIERE HALOGENE
78AEN,STIMULATOR ELECTRICAL IMPLANTED FOR GASTROPARESIS,STIMULATEUR ELECTRIQUE IMPLANTE POUR GASTROPARESIE
78ANS,ACCESSORIES OSTOMY,ACCESSOIRES POUR STOMIE
78FBK,NEEDLE ENDOSCOPIC,AIGUILLE ENDOSCOPIQUE
78FCE,KIT ENEMA (FOR CLEANING PURPOSE),TROUSSE POUR LAVEMENT (A DES FINS D'ASSAINISSEMENT)
78FCG,SET BIOPSY NEEDLE AND GUN,ENSEMBLE D'AIGUILLE ET DE PISTOLET A BIOPSIE
78FCL,FORCEPS BIOPSY NON-ELECTRIC,PINCE A BIOPSIE NON ELECTRIQUE
78FDF,COLONOSCOPEGASTRO-UROLOGY,COLONOSCOPE GASTRO-UROLOGIE
78FER,ANOSCOPE NON-POWERED,ANUSCOPE NON ELECTRIQUE
78FGC,URETHROSCOPE,URETROSCOPE
78FGX,SNARE NON-ELECTRICAL,ANSE NON ELECTRIQUE
78FIG,CLAMP TUBING BLOOD AUTOMATIC,PINCE A TUBAGE POUR PERFUSION SANGUINE AUTOMATIQUE
78FJI,DIALYZER CAPILLARY HOLLOW FIBER,DIALYSEUR DE DRAINAGE CAPILLAIRE A FIBRES CREUSES
78FKR,SUBSYSTEM PROPORTIONING,SOUS-SYSTEME DE DOSAGE
78FKY,CONNECTOR TUBING DIALYSATE,CONNECTEUR POUR TUBAGE POUR DYALISAT
78FRQ,TUBE LEVINE,SONDE DE LEVIN (NASOGASTRIQUE)
78GBT,CATHETER RECTAL,SONDE RECTALE
78GCK,GASTROSCOPE GENERAL & PLASTIC SURGERY,GASTROSCOPE POUR CHIRURGIE GENERALE ET PLASTIQUE
78JCW,PROSTHESIS PENIS INFLATABLE,PROTHESE PENIENNE GONFLABLE
78KDN,SYSTEM PERFUSION KIDNEY,SYSTEME DE PERFUSION RENALE
78KNT,TUBE GASTROINTESTINAL (AND ACCESSORIES),TUBE GASTROINTESTINAL (ET ACCESSOIRES)
78KPF,SEMI-AUTOMATIC PERITONEAL DIALYSATE DELIVERY SYSTEM,SYSTEME SEMI-AUTOMATIQUE DE DIALYSE PERITONEALE
78KPN,ALARM ENURESIS CONDITIONED RESPONSE BED WETTING,ALARME POUR ENURESIE NOCTURNE POUR DECLENCHEMENT D'UN REFLEXE CONDITIONNE
78KPO,DIALYSATE CONCENTRATE FOR HEMODIALYSIS (LIQUID OR POWDER),DIALYSAT CONCENTRE POUR HEMODIALYSE (LIQUIDE OU EN POUDRE)
78LKN,SEPARATOR AUTOMATED BLOOD CELL AND PLASMA THERAPEUTIC USE,SEPARATEUR AUTOMATISE DE CELLULES SANGUINES ET DE PLASMA POUR USAGE THERAPEUTIQUE
78LNR,EXTRACORPOREAL PHOTOPHERSIS SYSTEM,SYSTEME DE PHOTOCHIMIOTHERAPIE EXTRACORPORELLE
78LTI,INTRAGASTRIC IMPLANT FOR MORBID OBESITY,IMPLANT INTRAGASTRIQUE POUR OBESITE MORBIDE
78MIK,DEVICE ULTRASONIC THERMAL ABLATION,APPAREIL A ULTRASONS POUR ABLATION THERMIQUE
78MJC,CATHETER UROLOGICAL (ANTIMICROBIAL) AND ACCESSORIES,CATHETER UROLOGIQUE (ANTIMICROBIEN) ET ACCESSOIRES
78MNL,ACCESSORIES CLEANING BRUSHES FOR ENDOSCOPE,ACCESSOIRES ET BROSSES DE NETTOYAGE POUR ENDOSCOPE
78MSD,CATHETER HEMODIALYSIS IMPLANTED,CATHETER D'HEMODIALYSE IMPLANTE
78MUK,PROBE HEATING TISSUE LAPAROSCOPE,SONDE LAPARASCOPIQUE CHAUFFANT LES TISSUS
78MXU,DEVICE TRANSURETHRAL FOR CONTROLLED URINATION,DISPOSITIF TRANSURETRAL POUR MICTION CONTROLEE
78QBX,ASPIRATOR ULTRASONIC (SEE 85MGI),ASPIRATEUR ULTRASONIQUE (VOIR 85MGI)
78QIV,CATHETER OTHER,CATHETER AUTRE
78VJF,ENDOSCOPE ULTRASONIC PROBE (LITHOTRIPTOR),SONDE ENDOSCOPIQUE A ULTRASONS (LITHOTRITEUR)
79ACT,CLAMP ANASTOMOSIS,CLAMP A ANASTOMOSE
79ADU,BIOPROSTHESIS STORAGE SOLUTION,SOLUTION DE STOCKAGE POUR BIOPROTHESE
79ADX,FORCEPS BIOPSY,PINCE A BIOPSIE
79AVO,PROSTHESIS BREAST NONINFLATABLE INTERNAL SALINE,PROTHESE MAMMAIRE NON GONFLABLE INTERNE SOLUTION SALINE
79BWN,TABLE AND ATTACHMENTS OPERATING ROOM,TABLE DE SALLE D'OPERATION ET ACCESSOIRES
79EPT,MICROSCOPE SURGICAL,MICROSCOPE CHIRURGICAL
79EZX,MESH METAL,TREILLIS METALLIQUE
79FTM,MESH SURGICAL,TREILLIS CHIRURGICAL
79FTS,CAMERA CINE ENDOSCOPIC WITH AUDIO,CINECAMERA POUR ENDOSCOPIE AVEC AUDIO
79FWL,CAMERA CINE ENDOSCOPIC WITHOUT AUDIO,CINECAMERA POUR ENDOSCOPIE SANS AUDIO
79FWM,PROSTHESIS BREAST INFLATABLE INTERNAL SALINE,PROTHESE MAMMAIRE GONFLABLE INTERNE REMPLIE DE SOLUTION SALINE
79FYC,GOWN ISOLATION SURGICAL,BLOUSE DE CONTAGION POUR CHIRURGIE
79GAC,RASP SURGICAL GENERAL & PLASTIC SURGERY,RAPE CHIRURGICALE POUR CHIRURGIE GENERALE ET PLASTIQUE
79GAH,STYLET SURGICAL GENERAL & PLASTIC SURGERY,STYLET CHIRURGICAL POUR CHIRURGIE GENERALE ET PLASTIQUE
79GBA,CATHETER BALLOON TYPE,CATHETER A BALLONNET
79GDZ,HANDLE SCALPEL,MANCHE DE SCALPEL
79GES,BLADE SCALPEL,LAME DE SCALPEL
79GEX,INSTRUMENT SURGICAL POWERED LASER,INSTRUMENT CHIRURGICAL AU LASER ELECTRIQUE
79HRM,MICROSCOPE OPERATING & ACCESSORIES AC-POWERED OPHTHALMIC,MICROSCOPE ET ACCESSOIRES A COURANT ALTERNATIF OPHTALMIQUE
79JCT,PROSTHESIS TRACHEAL,PROTHESE TRACHEALE
79JYD,CHISEL MASTOID,BURIN POUR MASTOIDE
79KDD,SURGICAL INSTRUMENT KIT DISPOSABLE,TROUSSE D'INSTRUMENTS CHIRURGICAUX JETABLES
79LCJ,SKIN EXPANDER INFLATABLE,EXPANDEUR DE PEAU GONFLABLE
79LEJ,BOOTH SUN TAN,CABINE DE BRONZAGE
79LFL,INSTRUMENT ULTRASONIC SURGICAL,INSTRUMENT CHIRURGICAL A ULTRASONS
79LMG,ABSORBABLE HEMOSTATIC AGENTS NON-COLLAGEN BASED,AGENTS HEMOSTATIQUES RESORBABLES NON A BASE DE COLLAGENE
79LMH,DERMAL IMPLANTS OF COLLAGEN FOR AESTHETIC USE,IMPLANTS DERMIQUES DE COLLAGENE A DES FINS ESTHETIQUES
79LXZ,INSTRUMENT GUARD,PROTEGE-INSTRUMENT
79MOQ,BATTERY REPLACEMENT RECHARGEABLE,PILE DE REMPLACEMENT RECHARGEABLE
79MUU,SYSTEM SUCTION LIPOPLASTY,DISPOSITIF D'ASPIRATION POUR LIPOPLASTIE
79MXG,LAMP UVC (FOR TREATING SKIN AND WOUNDS),LAMPE A UVC (POUR LE TRAITEMENT DE LA PEAU ET DES PLAIES)
79MXW,SUTURE SURGICAL NONABSORBABLE POLY(VINYLIDENE FLUORIDE),SUTURE CHIRURGICALE NON RESORBABLE EN POLYFLUORURE DE VINYLIDENE
79NAY,SYSTEM SURGICAL COMPUTER CONTROLLED INSTRUMENT,SYSTEME POUR INSTRUMENTS CHIRURGICAUX COMMANDES PAR ORDINATEUR
79ONF,POWERED LIGHT BASED NON-LASER SURGICAL INSTRUMENT WITHTHERMAL EFFECT,INSTRUMENT CHIRURGICAL ELECTRIQUE A SOURCE LUMINEUSE AUTRE QUE LASER AVEC EFFET THERMIQUE
79QYS,GRAFT BOVINE,GREFFON D'ORIGINE BOVINE
79RDP,KNIFE SCALPEL,COUTEAU SCALPEL
79RJX,PAPILLOTOME/SPHINCTEROTOME,PAPILLOTOME/SPHINCTEROTOME
79RNO,PUNCH OTHER,POINCON AUTRE
79RPL,RETAINER VISCERAL,DISPOSITIF DE RETENUE DES VISCERES
79RTP,CUTTER SKIN GRAFT EXPANDED MESH,DERMATOME POUR GREFFE EN FILET
79RTZ,SNARE OTHER,ANSE AUTRE
79RWT,STRIPPER TENDON,TRINGLE DE TENDON
79ULA,LASER SURGICAL NEODYMIUM YAG,SYSTEME LASER CHIRURGICAL AU NEODYME (YAG)
79VKP,ENDOSCOPE ELECTRONIC (VIDEOENDOSCOPE),ENDOSCOPE ELECTRONIQUE (VIDEOENDOSCOPE)
79WWN,GLOVE SURGICAL POWDER-FREE (SEE 79FPI),GANTS DE CHIRURGIEN SANS POUDRE (VOIR 79FPI)
79WYQ,TROCAR LAPAROSCOPIC,TROCART LAPAROSCOPIQUE
80ABM,ACCESSORIES HANDLE BATTERY LARYNGOSCOPE,ACCESSOIRES POUR MANCHE DE LARYNGOSCOPE A PILE
80APH,DEVICE THERAPEUTIC COPPER,DISPOSITIF THERAPEUTIQUE AU CUIVRE
80ATI,VDT RADIATION SHIELD,ECRAN DE PROTECTION CONTRE LES RADIATION DES TERMINAUX A ECRAN DE VISUALISATION
80AUP,POST-SURGICAL COMPRESSION GARMENTS/BANDAGES,VETEMENTS/BANDAGES DE COMPRESSION POST-OPERATOIRES
80BSC,APPARATUS INFUSION MANUAL,INFUSEUR MANUEL
80CCS,SYSTEM DRAINAGE THORACIC WATER SEAL,SYSTEME DE DRAIN THORACIQUE A JOINT HYDRAULIQUE
80DZQ,APPLICATOR COTTON,APPLICATEUR EN COTON
80FMA,DEPRESSOR TONGUE,ABAISSE-LANGUE
80FMH,CONTAINER SPECIMEN,CONTENANT A ECHANTILLON
