"PATIENT_DEV_CD"|"DESC_E"|"DESC_F"|"CODE_TYPE_E"|"CODE_TYPE_F"
57|"E1403 - Breast Mass"|"E1403 - Masse mammaire"|"Health Effect"|"Effet sur la santé"
59|"E0708 - Bronchitis"|"E0708 - Bronchite"|"Health Effect"|"Effet sur la santé"
60|"E0709 - Bronchospasm"|"E0709 - Bronchospasme"|"Health Effect"|"Effet sur la santé"
61|"E1705 - Burning Sensation"|"E1705 - Sensation de brûlure"|"Health Effect"|"Effet sur la santé"
62|"E1801 - Cancer"|"E1801 - Cancer"|"Health Effect"|"Effet sur la santé"
63|"E180101 - Breast Cancer"|"E180101 - Cancer du sein"|"Health Effect"|"Effet sur la santé"
64|"E180104 - Lymphoma"|"E180104 - Lymphome"|"Health Effect"|"Effet sur la santé"
65|"E180102 - Breast Implant Associated Anaplastic Large Cell Lymphoma (BIA ALCL)"|"E180102 - Lymphome anaplasique à grandes cellules associé aux implants mammaires"|"Health Effect"|"Effet sur la santé"
66|"E0801 - Capsular Bag Tear"|"E0801 - Rupture du sac cristallinien"|"Health Effect"|"Effet sur la santé"
67|"E2303 - Capsular Contracture"|"E2303 - Contracture capsulaire"|"Health Effect"|"Effet sur la santé"
68|"E0602 - Cardiac Arrest"|"E0602 - Arrêt cardiaque"|"Health Effect"|"Effet sur la santé"
69|"E0604 - Cardiac Perforation"|"E0604 - Perforation cardiaque"|"Health Effect"|"Effet sur la santé"
70|"E0605 - Cardiac Tamponade"|"E0605 - Tamponnade cardiaque"|"Health Effect"|"Effet sur la santé"
71|"E0606 - Cardiomyopathy"|"E0606 - Cardiomyopathie"|"Health Effect"|"Effet sur la santé"
72|"Cardiopulmonary Arrest (Retired - use 68)"|"Arrêt cardiopulmonaire (Retiré-utilise 68)"|"Health Effect"|"Effet sur la santé"
73|"E0802 - Cataract"|"E0802 - Cataracte"|"Health Effect"|"Effet sur la santé"
74|"Cataract, Induced (Retired - use 73)"|"Cataracte induite (Retiré-utilise 73)"|"Health Effect"|"Effet sur la santé"
75|"E1503 - Cephalohematoma"|"E1503 - Céphalhématome"|"Health Effect"|"Effet sur la santé"
76|"E0106 - Cerebrospinal Fluid Leakage"|"E0106 - Fuite de liquide céphalorachidien"|"Health Effect"|"Effet sur la santé"
77|"E0133 - Stroke/CVA"|"E0133 - Accident vasculaire cérébral (AVC)"|"Health Effect"|"Effet sur la santé"
78|"E1404 - Cervical Changes"|"E1404 - Changement du col utérin"|"Health Effect"|"Effet sur la santé"
79|"E2003 - Chemical Exposure"|"E2003 - Exposition aux produits chimiques"|"Health Effect"|"Effet sur la santé"
80|"Chest Tightness/Pressure (Retired - use 636)"|"Serrement de poitrine/pression (Retiré-utilise 636)"|"Health Effect"|"Effet sur la santé"
81|"E2304 - Chills"|"E2304 - Frissons"|"Health Effect"|"Effet sur la santé"
83|"E0711 - Chronic Obstructive Pulmonary Disease (COPD)"|"E0711 - Maladie pulmonaire obstructive chronique (MPOC)"|"Health Effect"|"Effet sur la santé"
84|"E071101 - Pulmonary Emphysema"|"E071101 - Emphysème pulmonaire"|"Health Effect"|"Effet sur la santé"
85|"Claudication (Retired - use 1188)"|"Claudication - Boiterie (Retiré-utilise 1188)"|"Health Effect"|"Effet sur la santé"
86|"Closed Capsulotomy (Retired - use 636)"|"Capsulotomie fermée (Retiré-utilise 636)"|"Health Effect"|"Effet sur la santé"
87|"Clouding, Central Corneal (Retired - use 1151)"|"Opacification de la cornée centrale (Retiré-utilise 1151)"|"Health Effect"|"Effet sur la santé"
88|"Coagulopathy (Retired - use 1125)"|"Coagulopathie (Retiré-utilise 1125)"|"Health Effect"|"Effet sur la santé"
89|"E030201 - Disseminated Intravascular Coagulation (DIC)"|"E030201 - Coagulation intravasculaire disséminée (CIVD)"|"Health Effect"|"Effet sur la santé"
90|"E0107 - Cognitive Changes"|"E0107 - Changements cognitifs"|"Health Effect"|"Effet sur la santé"
91|"Collapse (Retired - use 183)"|"Effondrement (Retiré-utilise 183)"|"Health Effect"|"Effet sur la santé"
92|"E011901 - Coma"|"E011901 - Coma"|"Health Effect"|"Effet sur la santé"
93|"Complaint, Ill Defined (Retired - use 637)"|"Plainte mal définie (Retiré-utilise 637)"|"Health Effect"|"Effet sur la santé"
94|"Complete Heart Block (Retired - use 1275)"|"Bloc cardiaque complet (Retiré-utilise 1275)"|"Health Effect"|"Effet sur la santé"
95|"E010701 - Confusion/Disorientation"|"E010701 - Confusion/désorientation"|"Health Effect"|"Effet sur la santé"
96|"E1505 - Congenital Defect/Deformity"|"E1505 - Anomalie/malformation congénitale"|"Health Effect"|"Effet sur la santé"
98|"E1512 - Neonatal Hearing Impairment"|"E1512 - Déficience auditive néonatale"|"Health Effect"|"Effet sur la santé"
99|"E151201 - Complete Neonatal Hearing Loss"|"E151201 - Perte auditive néonatale complète"|"Health Effect"|"Effet sur la santé"
100|"Congestive Heart Failure (Retired - use 1135)"|"Insuffisance cardiaque congestive (Retiré-utilise 1135)"|"Health Effect"|"Effet sur la santé"
101|"E0804 - Conjunctivitis"|"E0804 - Conjonctivite"|"Health Effect"|"Effet sur la santé"
102|"E1604 - Connective Tissue Disease"|"E1604 - Maladie du tissu conjonctif"|"Health Effect"|"Effet sur la santé"
103|"E010901 - Convulsion, Clonic"|"E010901 - Convulsions, cloniques"|"Health Effect"|"Effet sur la santé"
104|"E010902 - Convulsion, Tonic"|"E010902 - Convulsions, toniques"|"Health Effect"|"Effet sur la santé"
105|"E0811 - Corneal Perforation"|"E0811 - Perforation cornéenne"|"Health Effect"|"Effet sur la santé"
106|"E081901 - Corneal Abrasion"|"E081901 - Abrasion de la cornée"|"Health Effect"|"Effet sur la santé"
107|"E0806 - Corneal Decompensation"|"E0806 - Décompensation cornéenne"|"Health Effect"|"Effet sur la santé"
108|"Corneal Haze (Retired - use 1151)"|"Opacité cornéenne (Retiré-utilise 1151)"|"Health Effect"|"Effet sur la santé"
109|"E0809 - Corneal Infiltrates"|"E0809 - Infiltrats cornéens"|"Health Effect"|"Effet sur la santé"
110|"E0813 - Corneal Touch"|"E0813 - Toucher cornéen"|"Health Effect"|"Effet sur la santé"
111|"E0814 - Corneal Ulcer"|"E0814 - Ulcère cornéen"|"Health Effect"|"Effet sur la santé"
112|"Cramp(s) (Retired - use 1188)"|"Crampe(s) (Retiré-utilise 1188)"|"Health Effect"|"Effet sur la santé"
113|"E160501 - Abdominal Cramps"|"E160501 - Crampes abdominales"|"Health Effect"|"Effet sur la santé"
114|"E0608 - Cusp Tear"|"E0608 - Déchirure de la cuspide"|"Health Effect"|"Effet sur la santé"
115|"E2305 - Cyanosis"|"E2305 - Cyanose"|"Health Effect"|"Effet sur la santé"
117|"E1802 - Cyst(s)"|"E1802 - Kystes"|"Health Effect"|"Effet sur la santé"
119|"E190701 - Cytomegalovirus (CMV) Infection"|"E190701 - Infection à cytomégalovirus (CMV)"|"Health Effect"|"Effet sur la santé"
120|"F0201 - Intrauterine Fetal Death"|"F0201 - Mort foetale intra-utérine"|"Health Effect"|"Effet sur la santé"
121|"F02 - Death"|"F02 - Mort"|"Health Effect"|"Effet sur la santé"
122|"Sudden Cardiac Death (Retired - use 121)"|"Arrêt cardiaque soudain (Retiré-utilise 121)"|"Health Effect"|"Effet sur la santé"
123|"E2001 - Bone Shedding Debris"|"E2001 - Débris d'excrétion osseuse"|"Health Effect"|"Effet sur la santé"
124|"E2329 - Organ Dehiscence"|"E2329 - Déhiscence d'un organe"|"Health Effect"|"Effet sur la santé"
125|"E2340 - Wound Dehiscence"|"E2340 - Déhiscence de la plaie"|"Health Effect"|"Effet sur la santé"
126|"E0843 - Zonular Dehiscence"|"E0843 - Déhiscence zonulaire"|"Health Effect"|"Effet sur la santé"
127|"E1201 - Dehydration"|"E1201 - Déshydratation"|"Health Effect"|"Effet sur la santé"
128|"E010702 - Dementia"|"E010702 - Démence"|"Health Effect"|"Effet sur la santé"
129|"E2309 - Deposits"|"E2309 - Dépôts"|"Health Effect"|"Effet sur la santé"
130|"E230901 - Calcium Deposits/Calcification"|"E230901 - Dépôts de calcium (calcification)"|"Health Effect"|"Effet sur la santé"
131|"E020202 - Depression"|"E020202 - Dépression"|"Health Effect"|"Effet sur la santé"
132|"E081903 - Retinal Detachment"|"E081903 - Décollement de la rétine"|"Health Effect"|"Effet sur la santé"
133|"Device Fragments in Patient (Retired - use 204)"|"Fragments d'instrument dans le corps d'un patient (Retiré-utilise 204)"|"Health Effect"|"Effet sur la santé"
134|"E120501 - Elevated ketones/Diabetic Ketoacidosis"|"E120501 - Cétones élevées / Acidocétose diabétique"|"Health Effect"|"Effet sur la santé"
135|"E2310 - Diaphoresis"|"E2310 - Diaphorèse"|"Health Effect"|"Effet sur la santé"
136|"E1008 - Diarrhea"|"E1008 - Diarrhée"|"Health Effect"|"Effet sur la santé"
137|"E1607 - Difficulty Chewing"|"E1607 - Difficultés de mastication"|"Health Effect"|"Effet sur la santé"
138|"F1202 - Disability"|"F1202 - Invalidité"|"Health Effect"|"Effet sur la santé"
139|"E1613 - Intervertebral Disc Compression or Protrusion"|"E1613 - Compression ou hernie du disque intervertébral"|"Health Effect"|"Effet sur la santé"
140|"Discharge (Retired - use 198)"|"Écoulement (Retiré-utilise 198)"|"Health Effect"|"Effet sur la santé"
141|"E2311 - Discomfort"|"E2311 - Inconfort"|"Health Effect"|"Effet sur la santé"
142|"E2308 - Deformity/Disfigurement"|"E2308 - Déformation ou défigurement"|"Health Effect"|"Effet sur la santé"
143|"Dissection (Retired - use 1132)"|"Dissection (Retiré-utilise 1132)"|"Health Effect"|"Effet sur la santé"
144|"E1001 - Abdominal Distention"|"E1001 - Distension abdominale"|"Health Effect"|"Effet sur la santé"
145|"E020203 - Distress"|"E020203 - Détresse"|"Health Effect"|"Effet sur la santé"
146|"E0112 - Dizziness"|"E0112 - Étourdissements"|"Health Effect"|"Effet sur la santé"
147|"E0815 - Dry Eye(s)"|"E0815 - Sécheresse oculaire"|"Health Effect"|"Effet sur la santé"
148|"E012201 - Dyskinesia"|"E012201 - Dyskinésie"|"Health Effect"|"Effet sur la santé"
149|"E1009 - Dysphagia/Odynophagia"|"E1009 - Dysphagie/odynophagie"|"Health Effect"|"Effet sur la santé"
150|"E0113 - Dysphasia"|"E0113 - Dysphasie"|"Health Effect"|"Effet sur la santé"
151|"E0717 - Dyspnea"|"E0717 - Dyspnée"|"Health Effect"|"Effet sur la santé"
152|"E1301 - Dysuria"|"E1301 - Dysurie"|"Health Effect"|"Effet sur la santé"
153|"E0830 - Macular Edema"|"E0830 - Oedème maculaire"|"Health Effect"|"Effet sur la santé"
154|"E0618 - Non specific EKG/ECG Changes"|"E0618 - Modification de l'ECG non spécifique"|"Health Effect"|"Effet sur la santé"
155|"E2104 - Electric Shock"|"E2104 - Décharge électrique"|"Health Effect"|"Effet sur la santé"
156|"Electrocution (Retired - use 121)"|"Électrocution (Retiré-utilise 121)"|"Health Effect"|"Effet sur la santé"
157|"E1202 - Electrolyte Imbalance"|"E1202 - Déséquilibre électrolytique"|"Health Effect"|"Effet sur la santé"
158|"Electro Mechanical Dissociation (Retired - use 68)"|"Dissociation électromécanique (Retiré-utilise 68)"|"Health Effect"|"Effet sur la santé"
159|"Embolism (Retired - use 1129)"|"Embolie (Retiré-utilise 1129)"|"Health Effect"|"Effet sur la santé"
160|"E050301 - Air Embolism"|"E050301 - Embolie gazeuse"|"Health Effect"|"Effet sur la santé"
161|"E050303 - Pulmonary Embolism"|"E050303 - Embolie pulmonaire"|"Health Effect"|"Effet sur la santé"
162|"E050304 - Thromboembolism"|"E050304 - Thromboembolie"|"Health Effect"|"Effet sur la santé"
163|"Embolus (Retired - use 1129)"|"Embole (Retiré-utilise 1129)"|"Health Effect"|"Effet sur la santé"
164|"E0202 - Emotional Changes"|"E0202 - Changements émotionnels"|"Health Effect"|"Effet sur la santé"
165|"E0114 - Encephalitis"|"E0114 - Encéphalite"|"Health Effect"|"Effet sur la santé"
166|"E0115 - Encephalopathy"|"E0115 - Encéphalopathie"|"Health Effect"|"Effet sur la santé"
168|"E0610 - Endocarditis"|"E0610 - Endocardite"|"Health Effect"|"Effet sur la santé"
169|"E0816 - Endophthalmitis"|"E0816 - Endophtalmie"|"Health Effect"|"Effet sur la santé"
170|"E0603 - Cardiac Enzyme Elevation"|"E0603 - Élévation des enzymes cardiaques"|"Health Effect"|"Effet sur la santé"
171|"E1010 - Eructate"|"E1010 - Éructation"|"Health Effect"|"Effet sur la santé"
172|"E1018 - Laceration(s) of Esophagus"|"E1018 - Lacération oesophagienne"|"Health Effect"|"Effet sur la santé"
173|"E1022 - Perforation of Esophagus"|"E1022 - Perforation oesophagienne"|"Health Effect"|"Effet sur la santé"
175|"E2105 - Exposure to Body Fluids"|"E2105 - Exposition aux liquides organiques"|"Health Effect"|"Effet sur la santé"
176|"E0504 - Extravasation"|"E0504 - Extravasation"|"Health Effect"|"Effet sur la santé"
177|"E2118 - Unintended Extubation"|"E2118 - Extubation involontaire"|"Health Effect"|"Effet sur la santé"
178|"E0819 - Eye Injury"|"E0819 - Lésion oculaire"|"Health Effect"|"Effet sur la santé"
179|"Optical tissue, breakdown of (Retired - use 341)"|"Tissu oculaire, dégradation du (Retiré-utilise 341)"|"Health Effect"|"Effet sur la santé"
180|"E081904 - Retinal Injury"|"E081904 - Lésion rétinienne"|"Health Effect"|"Effet sur la santé"
181|"E081905 - Retinal Tear"|"E081905 - Déchirement rétinien"|"Health Effect"|"Effet sur la santé"
182|"Facial Nerve Paralysis (Retired - use 448)"|"Paralysie du nerf facial (Retiré-utilise 448)"|"Health Effect"|"Effet sur la santé"
183|"E2007 - Fall"|"E2007 - Chute"|"Health Effect"|"Effet sur la santé"
185|"E2312 - Fatigue"|"E2312 - Fatigue"|"Health Effect"|"Effet sur la santé"
186|"E231201 - Extreme Exhaustion"|"E231201 - Épuisement extrême"|"Health Effect"|"Effet sur la santé"
187|"E1203 - Feeding Problem"|"E1203 - Problème d'alimentation"|"Health Effect"|"Effet sur la santé"
188|"E1507 - Fetal Distress"|"E1507 - Souffrance foetale"|"Health Effect"|"Effet sur la santé"
189|"E230101 - Fever"|"E230101 - Fièvre"|"Health Effect"|"Effet sur la santé"
190|"E1609 - Fibromyositis"|"E1609 - Fibromyosite"|"Health Effect"|"Effet sur la santé"
191|"E2313 - Fibrosis"|"E2313 - Fibrose"|"Health Effect"|"Effet sur la santé"
192|"Scarring (Retired - use 521)"|"Cicatrisation (Retiré-utilise 521)"|"Health Effect"|"Effet sur la santé"
193|"E0812 - Corneal Scar"|"E0812 - Cicatrice cornéenne"|"Health Effect"|"Effet sur la santé"
194|"First Use Syndrome (Retired - use 636)"|"Syndrome de la première fois (Retiré-utilise 636)"|"Health Effect"|"Effet sur la santé"
195|"E2314 - Fistula"|"E2314 - Fistule"|"Health Effect"|"Effet sur la santé"
196|"E083801 - Flashers"|"E083801 - Éclairs lumineux"|"Health Effect"|"Effet sur la santé"
197|"E1011 - Flatus"|"E1011 - Flatuosité"|"Health Effect"|"Effet sur la santé"
198|"E2315 - Fluid Discharge"|"E2315 - Écoulement de liquide"|"Health Effect"|"Effet sur la santé"
199|"E231501 - Purulent Discharge"|"E231501 - Écoulement purulent"|"Health Effect"|"Effet sur la santé"
200|"E0719 - Forced Expiratory Volume Decreased"|"E0719 - Volume expiratoire maximal diminué"|"Health Effect"|"Effet sur la santé"
201|"E0720 - Forced Expiratory Volume Increased"|"E0720 - Volume expiratoire maximal augmenté"|"Health Effect"|"Effet sur la santé"
202|"E2316 - Foreign Body Reaction"|"E2316 - Réaction à un corps étranger"|"Health Effect"|"Effet sur la santé"
203|"Host Tissue Reaction (Retired - use 636)"|"Réaction du tissu hôte (Retiré-utilise 636)"|"Health Effect"|"Effet sur la santé"
204|"E2008 - Foreign Body In Patient"|"E2008 - Corps étranger dans un patient"|"Health Effect"|"Effet sur la santé"
205|"E200801 - Device Embedded In Tissue or Plaque"|"E200801 - Dispositif intégré dans les tissus ou les plaques"|"Health Effect"|"Effet sur la santé"
206|"E0821 - Foreign Body Sensation in Eye"|"E0821 - Sensation de corps étranger dans l'oeil"|"Health Effect"|"Effet sur la santé"
207|"E1603 - Bone Fracture(s)"|"E1603 - Fracture osseuse"|"Health Effect"|"Effet sur la santé"
208|"Fracture, Delayed Union (Retired - use 636)"|"Fracture avec retard de consolidation (Retiré-utilise 636)"|"Health Effect"|"Effet sur la santé"
209|"E160304 - Skull Fracture"|"E160304 - Fracture du crâne"|"Health Effect"|"Effet sur la santé"
210|"E160302 - Fracture, Limb"|"E160302 - Fracture d'un membre"|"Health Effect"|"Effet sur la santé"
211|"E160301 - Hip Fracture"|"E160301 - Fracture de la hanche"|"Health Effect"|"Effet sur la santé"
212|"Fungus (Retired - use 292)"|"Champignon (Retiré-utilise 292)"|"Health Effect"|"Effet sur la santé"
213|"Gangrene (Retired - use 407)"|"Gangrène (Retiré-utilise 407)"|"Health Effect"|"Effet sur la santé"
214|"E1012 - Gastritis"|"E1012 - Gastrite"|"Health Effect"|"Effet sur la santé"
215|"E0822 - Glaucoma"|"E0822 - Glaucome"|"Health Effect"|"Effet sur la santé"
216|"E2317 - Granuloma"|"E2317 - Granulome"|"Health Effect"|"Effet sur la santé"
217|"E2318 - Hair Loss"|"E2318 - Perte de cheveux ou de poils"|"Health Effect"|"Effet sur la santé"
218|"E1610 - Head Injury"|"E1610 - Traumatisme crânien"|"Health Effect"|"Effet sur la santé"
219|"E0116 - Headache"|"E0116 - Céphalée"|"Health Effect"|"Effet sur la santé"
220|"Headache, Lumbar Puncture (Retired - use 219)"|"Céphalées post-ponction lombaire (Retiré-utilise 219)"|"Health Effect"|"Effet sur la santé"
221|"E1707 - Impaired Healing"|"E1707 - Troubles de cicatrisation"|"Health Effect"|"Effet sur la santé"
222|"E0903 - Hearing Impairment"|"E0903 - Déficience auditive"|"Health Effect"|"Effet sur la santé"
223|"E090301 - Partial Hearing Loss"|"E090301 - Perte auditive partielle"|"Health Effect"|"Effet sur la santé"
224|"E090302 - Total Hearing Loss"|"E090302 - Perte auditive totale"|"Health Effect"|"Effet sur la santé"
225|"Heart Failure (Retired - use 1135)"|"Insuffisance cardiaque (Retiré-utilise 1135)"|"Health Effect"|"Effet sur la santé"
226|"Left Ventricular Failure (Retired - use 1135)"|"Insuffisance ventriculaire gauche (Retiré-utilise 1135)"|"Health Effect"|"Effet sur la santé"
227|"E140702 - Menorrhagia"|"E140702 - Ménorragie"|"Health Effect"|"Effet sur la santé"
228|"E0505 - Hematoma"|"E0505 - Hématome"|"Health Effect"|"Effet sur la santé"
229|"E1302 - Hematuria"|"E1302 - Hématurie"|"Health Effect"|"Effet sur la santé"
230|"Hemoconcentration (Retired - use 636)"|"Hémoconcentration (Retiré-utilise 636)"|"Health Effect"|"Effet sur la santé"
231|"E0303 - Hemolysis"|"E0303 - Hémolyse"|"Health Effect"|"Effet sur la santé"
232|"E030101 - Hemolytic Anemia"|"E030101 - Anémie hémolytique"|"Health Effect"|"Effet sur la santé"
233|"E0721 - Hemoptysis"|"E0721 - Hémoptysie"|"Health Effect"|"Effet sur la santé"
234|"E0506 - Hemorrhage/Blood Loss/Bleeding"|"E0506 - Hémorragie / perte de sang / saignement"|"Health Effect"|"Effet sur la santé"
235|"E050601 - Ecchymosis"|"E050601 - Ecchymose"|"Health Effect"|"Effet sur la santé"
236|"Hemorrhage, Extradural (Retired - use 241)"|"Hémorragie extradurale (Retiré-utilise 241)"|"Health Effect"|"Effet sur la santé"
237|"Hemorrhage, Subarachnoid (Retired - use 241)"|"Hémorragie sous-arachnoïdienne (Retiré-utilise 241)"|"Health Effect"|"Effet sur la santé"
238|"Hemorrhage, Subdural (Retired - use 241)"|"Hémorragie sous-durale (Retiré-utilise 241)"|"Health Effect"|"Effet sur la santé"
239|"Hemorrhage, Subgaleal C (Retired - use 234)"|"Hémorragie sous-galéale (Retiré-utilise 234)"|"Health Effect"|"Effet sur la santé"
240|"E140701 - Intermenstrual Bleeding"|"E140701 - Saignement intermenstruel"|"Health Effect"|"Effet sur la santé"
241|"E0118 - Intracranial Hemorrhage"|"E0118 - Hémorragie intracrânienne"|"Health Effect"|"Effet sur la santé"
242|"Hemorrhage, cerebral (Retired - use 241)"|"Hémorragie cérébrale (Retiré-utilise 241)"|"Health Effect"|"Effet sur la santé"
243|"Hemorrhage, Intraventricular (Retired - use 241)"|"Hémorragie intraventriculaire (Retiré-utilise 241)"|"Health Effect"|"Effet sur la santé"
244|"Hemostasis (Retired - use 636)"|"Hémostase (Retiré-utilise 636)"|"Health Effect"|"Effet sur la santé"
245|"E0722 - Hemothorax"|"E0722 - Hémothorax"|"Health Effect"|"Effet sur la santé"
246|"E1102 - Hepatitis"|"E1102 - Hépatite"|"Health Effect"|"Effet sur la santé"
247|"E2319 - Hernia"|"E2319 - Hernie"|"Health Effect"|"Effet sur la santé"
248|"E0723 - Hiccups"|"E0723 - Hoquet"|"Health Effect"|"Effet sur la santé"
249|"HIV, Human Immunodeficiency Virus (Retired - use 296)"|"Virus de l'immunodéficience humaine, VIH (Retiré-utilise 296)"|"Health Effect"|"Effet sur la santé"
250|"E1204 - Hot Flashes/Flushes"|"E1204 - Bouffées de chaleur/bouffées congestives"|"Health Effect"|"Effet sur la santé"
251|"E0117 - Hydrocephalus"|"E0117 - Hydrocéphalie"|"Health Effect"|"Effet sur la santé"
252|"E1103 - Hyperbilirubinemia"|"E1103 - Hyperbilirubinémie"|"Health Effect"|"Effet sur la santé"
253|"E2322 - Hyperemia"|"E2322 - Hyperémie"|"Health Effect"|"Effet sur la santé"
254|"E1205 - Hyperglycemia"|"E1205 - Hyperglycémie"|"Health Effect"|"Effet sur la santé"
256|"E2323 - Hyperplasia"|"E2323 - Hyperplasie"|"Health Effect"|"Effet sur la santé"
257|"E0402 - Hypersensitivity/Allergic reaction"|"E0402 - Hypersensibilité/réaction allergique"|"Health Effect"|"Effet sur la santé"
258|"E2320 - High Blood Pressure/Hypertension"|"E2320 - Pression artérielle haute/hypertension"|"Health Effect"|"Effet sur la santé"
259|"E230102 - Hyperthermia"|"E230102 - Hyperthermie"|"Health Effect"|"Effet sur la santé"
260|"E0724 - Hyperventilation"|"E0724 - Hyperventilation"|"Health Effect"|"Effet sur la santé"
261|"E0304 - Hypervolemia"|"E0304 - Hypervolémie"|"Health Effect"|"Effet sur la santé"
262|"E0824 - Hyphema"|"E0824 - Hyphéma"|"Health Effect"|"Effet sur la santé"
